species,subject,time,hemisphere,gm_or_wm,sulcus,index_number,x,y,z
macaque,10,22months,lh,pi,lu,5,36.50123596191406,42.82070541381836,38.666568756103516
macaque,10,22months,lh,pi,lu,6,29.96095848083496,47.22136688232422,41.543148040771484
macaque,10,22months,lh,pi,lu,7,23.105709075927734,48.14797592163086,44.400360107421875
macaque,10,22months,lh,pi,lu,8,17.11403465270996,48.688255310058594,46.8084716796875
macaque,10,22months,lh,pi,of,1,3.5350394248962402,-64.80416870117188,7.160988807678223
macaque,10,22months,lh,pi,of,2,3.0307345390319824,-58.39377975463867,7.815451622009277
macaque,10,22months,lh,pi,of,3,4.613096714019775,-53.77146911621094,9.688791275024414
macaque,10,22months,lh,pi,of,4,7.900378704071045,-46.13964080810547,9.81059455871582
macaque,10,22months,lh,pi,of,5,9.09570598602295,-41.211265563964844,5.139858722686768
macaque,10,22months,lh,pi,of,6,8.278349876403809,-34.86293029785156,2.8311069011688232
macaque,10,22months,lh,pi,po,1,5.625232219696045,54.48037338256836,44.37221145629883
macaque,10,22months,lh,pi,po,2,9.767454147338867,51.56329345703125,45.68046188354492
macaque,10,22months,lh,pi,po,3,13.723407745361328,50.816200256347656,46.26934814453125
macaque,10,22months,lh,pi,po,4,16.036027908325195,48.522491455078125,47.201622009277344
macaque,10,22months,lh,pi,pr,1,-2.344897508621216,-74.50875091552734,12.100581169128418
macaque,10,22months,lh,pi,pr,2,3.861981153488159,-72.27083587646484,13.787412643432617
macaque,10,22months,lh,pi,pr,3,11.33626937866211,-65.8877182006836,18.67637825012207
macaque,10,22months,lh,pi,pr,4,18.444141387939453,-60.35261917114258,24.716970443725586
macaque,10,22months,lh,pi,pr,5,23.63890838623047,-49.38204574584961,30.92641830444336
macaque,10,22months,lh,pi,pr,6,27.96902084350586,-41.97685241699219,32.456485748291016
macaque,10,22months,lh,pi,pr,7,28.336105346679688,-35.0661506652832,35.335731506347656
macaque,10,22months,lh,pi,st,1,29.371795654296875,-23.897964477539062,-22.34650421142578
macaque,10,22months,lh,pi,st,2,41.287532806396484,-20.643146514892578,-13.053152084350586
macaque,10,22months,lh,pi,st,3,48.40911865234375,-14.547595977783203,-6.546529293060303
macaque,10,22months,lh,pi,st,4,52.09320831298828,-6.7842230796813965,0.2485686093568802
macaque,10,22months,lh,pi,st,5,53.40064239501953,0.8741388916969299,12.436126708984375
macaque,10,22months,lh,pi,st,6,52.41786193847656,7.0349650382995605,20.40644073486328
macaque,10,22months,lh,pi,st,7,49.62660598754883,11.714092254638672,29.2851619720459
macaque,10,22months,lh,pi,st,8,43.047672271728516,23.2425479888916,35.342872619628906
macaque,10,22months,lh,pi,st,9,37.32787322998047,33.2816276550293,40.54655456542969
macaque,10,22months,lh,pi,st,10,30.49839210510254,34.73434829711914,45.678443908691406
macaque,10,22months,lh,pi,st,11,23.788944244384766,39.465415954589844,48.05891418457031
macaque,10,22months,lh,wh,arc,1,10.195950508117676,-36.446746826171875,38.65169143676758
macaque,10,22months,lh,wh,arc,2,11.371235847473145,-32.452964782714844,33.76377868652344
macaque,10,22months,lh,wh,arc,3,13.12987995147705,-26.634946823120117,30.55426597595215
macaque,10,22months,lh,wh,arc,4,16.530803680419922,-23.05010223388672,29.02530860900879
macaque,10,22months,lh,wh,arc,5,21.180185317993164,-22.679479598999023,26.42262840270996
macaque,10,22months,lh,wh,arc,6,23.29779815673828,-26.26661491394043,21.341949462890625
macaque,10,22months,lh,wh,arc,7,24.656787872314453,-33.05637741088867,17.442476272583008
macaque,10,22months,lh,wh,arc,8,27.258066177368164,-36.95134735107422,13.026248931884766
macaque,10,22months,lh,wh,arc,9,31.839336395263672,-37.292884826660156,8.3184175491333
macaque,10,22months,lh,wh,ca,1,32.238487243652344,27.959932327270508,9.93288516998291
macaque,10,22months,lh,wh,ca,2,33.747764587402344,32.37159729003906,11.256691932678223
macaque,10,22months,lh,wh,ca,3,34.463661193847656,35.27208709716797,12.17519474029541
macaque,10,22months,lh,wh,ca,4,36.36748123168945,38.40047836303711,13.329079627990723
macaque,10,22months,lh,wh,ca,5,37.93329620361328,40.81589889526367,14.798626899719238
macaque,10,22months,lh,wh,ca,6,37.991790771484375,42.880462646484375,15.921937942504883
macaque,10,22months,lh,wh,ca,7,38.0609245300293,45.92075729370117,16.790538787841797
macaque,10,22months,lh,wh,ca,8,37.85064697265625,49.65329360961914,17.510112762451172
macaque,10,22months,lh,wh,ca,9,38.00979232788086,51.51889419555664,17.89546775817871
macaque,10,22months,lh,wh,ca,10,34.70822525024414,56.47905349731445,17.488983154296875
macaque,10,22months,lh,wh,ca,11,30.343799591064453,61.558170318603516,16.01333999633789
macaque,10,22months,lh,wh,ca,12,26.389041900634766,66.03754425048828,14.75700569152832
macaque,10,22months,lh,wh,ca,13,22.892240524291992,68.53443145751953,13.63662052154541
macaque,10,22months,lh,wh,ca,14,17.70267677307129,70.08073425292969,11.900337219238281
macaque,10,22months,lh,wh,ce,1,8.72010326385498,8.225648880004883,50.1711540222168
macaque,10,22months,lh,wh,ce,2,12.060151100158691,6.469149589538574,46.44057083129883
macaque,10,22months,lh,wh,ce,3,16.15696144104004,4.220935344696045,42.3552131652832
macaque,10,22months,lh,wh,ce,4,19.38541030883789,0.5830286145210266,38.09300994873047
macaque,10,22months,lh,wh,ce,5,23.78907585144043,-4.6964430809021,33.38864517211914
macaque,10,22months,lh,wh,ce,6,27.800861358642578,-9.42975902557373,29.48125457763672
macaque,10,22months,lh,wh,ce,7,34.11945343017578,-11.256348609924316,27.599260330200195
macaque,10,22months,lh,wh,ce,8,39.26231384277344,-11.386536598205566,25.21045684814453
macaque,10,22months,lh,wh,ce,9,43.0213508605957,-10.679707527160645,23.89450454711914
macaque,10,22months,lh,wh,ci,1,12.777841567993164,24.16526222229004,49.85417175292969
macaque,10,22months,lh,wh,ci,2,15.266966819763184,18.58177375793457,46.12854766845703
macaque,10,22months,lh,wh,ci,3,15.247466087341309,13.525045394897461,42.146278381347656
macaque,10,22months,lh,wh,ci,4,14.231064796447754,10.998954772949219,39.524986267089844
macaque,10,22months,lh,wh,ci,5,12.855520248413086,6.888840675354004,36.028526306152344
macaque,10,22months,lh,wh,ci,6,12.032955169677734,0.24244213104248047,35.58669662475586
macaque,10,22months,lh,wh,ci,7,11.496849060058594,-8.389034271240234,35.61790466308594
macaque,10,22months,lh,wh,ci,8,9.803472518920898,-19.07602310180664,35.90499496459961
macaque,10,22months,lh,wh,ci,9,7.011494159698486,-29.45046043395996,33.3862190246582
macaque,10,22months,lh,wh,ci,10,8.077491760253906,-37.900123596191406,30.11168670654297
macaque,10,22months,lh,wh,ci,11,8.299491882324219,-45.71650695800781,25.78241729736328
macaque,10,22months,lh,wh,ci,12,6.395991325378418,-52.676334381103516,23.04209327697754
macaque,10,22months,lh,wh,ci,13,2.8625502586364746,-56.012516021728516,21.43524169921875
macaque,10,22months,lh,wh,co,2,1.0770615339279175,18.911117553710938,19.669355392456055
macaque,10,22months,lh,wh,co,3,0.26595428586006165,20.07607650756836,25.018362045288086
macaque,10,22months,lh,wh,co,4,1.2336068153381348,14.28170108795166,27.565258026123047
macaque,10,22months,lh,wh,co,5,0.6307231783866882,7.421116352081299,29.550905227661133
macaque,10,22months,lh,wh,co,6,0.014077737927436829,-0.21182380616664886,30.643205642700195
macaque,10,22months,lh,wh,co,7,-0.8857120871543884,-9.13121223449707,30.873689651489258
macaque,10,22months,lh,wh,co,8,-1.3446943759918213,-17.990154266357422,29.612380981445312
macaque,10,22months,lh,wh,co,9,-2.079145669937134,-28.01935386657715,26.833059310913086
macaque,10,22months,lh,wh,co,10,-1.7125650644302368,-36.914939880371094,25.97433090209961
macaque,10,22months,lh,wh,co,11,-2.192268133163452,-40.25416564941406,22.64387321472168
macaque,10,22months,lh,wh,co,12,-2.4381964206695557,-38.27847671508789,19.514963150024414
macaque,10,22months,lh,wh,co,13,-2.491914749145508,-32.32444763183594,18.884231567382812
macaque,10,22months,lh,wh,co,14,-1.61448335647583,-27.9989070892334,18.02199935913086
macaque,10,22months,lh,wh,di,1,13.466187477111816,-23.78361701965332,43.47608184814453
macaque,10,22months,lh,wh,di,2,15.208555221557617,-16.89342498779297,43.75929641723633
macaque,10,22months,lh,wh,di,3,16.129674911499023,-10.594849586486816,46.36736297607422
macaque,10,22months,lh,wh,io,1,47.60836410522461,17.843704223632812,17.477357864379883
macaque,10,22months,lh,wh,io,2,43.534080505371094,22.588027954101562,15.348116874694824
macaque,10,22months,lh,wh,io,3,40.316104888916016,29.168235778808594,13.21037769317627
macaque,10,22months,lh,wh,io,4,41.243072509765625,34.84613800048828,10.378121376037598
macaque,10,22months,lh,wh,io,5,41.75341796875,39.926605224609375,10.885553359985352
macaque,10,22months,lh,wh,io,6,40.788761138916016,46.491695404052734,9.143260955810547
macaque,10,22months,lh,wh,io,7,39.16276168823242,51.54294967651367,6.9134345054626465
macaque,10,22months,lh,wh,io,8,37.204811096191406,56.347171783447266,4.1815361976623535
macaque,10,22months,lh,wh,ip,1,37.19712448120117,-5.657429218292236,34.6836051940918
macaque,10,22months,lh,wh,ip,2,31.797922134399414,-0.711999773979187,32.11729431152344
macaque,10,22months,lh,wh,ip,3,26.99604034423828,3.1513278484344482,32.33562469482422
macaque,10,22months,lh,wh,ip,4,21.232425689697266,7.167334079742432,33.59709548950195
macaque,10,22months,lh,wh,ip,5,17.75912094116211,11.176164627075195,32.91083526611328
macaque,10,22months,lh,wh,ip,6,14.59229850769043,16.870044708251953,31.813846588134766
macaque,10,22months,lh,wh,ip,7,11.831212043762207,22.305849075317383,30.544517517089844
macaque,10,22months,lh,wh,ip,8,11.158500671386719,26.860960006713867,28.50519561767578
macaque,10,22months,lh,wh,ip,9,10.983675956726074,31.75640106201172,26.08556365966797
macaque,10,22months,lh,wh,ip,10,13.10198974609375,39.03795623779297,25.023988723754883
macaque,10,22months,lh,wh,ip,11,14.723913192749023,44.36748504638672,25.659421920776367
macaque,10,22months,lh,wh,ip,12,20.180004119873047,50.00444412231445,31.313142776489258
macaque,10,22months,lh,wh,la,1,5.379166603088379,-13.522425651550293,-4.762211322784424
macaque,10,22months,lh,wh,la,2,22.521787643432617,-15.452803611755371,-3.059983968734741
macaque,10,22months,lh,wh,la,3,31.881954193115234,-18.392642974853516,-1.223134160041809
macaque,10,22months,lh,wh,la,4,34.12667465209961,-14.549382209777832,3.3591694831848145
macaque,10,22months,lh,wh,la,5,35.49623107910156,-9.376835823059082,5.9227399826049805
macaque,10,22months,lh,wh,la,6,33.131107330322266,1.1460496187210083,10.313876152038574
macaque,10,22months,lh,wh,la,7,31.25251007080078,4.046850204467773,14.806499481201172
macaque,10,22months,lh,wh,la,8,26.713655471801758,8.34010124206543,19.63840103149414
macaque,10,22months,lh,wh,la,9,25.201587677001953,11.860833168029785,23.792762756347656
macaque,10,22months,lh,wh,la,10,25.017770767211914,17.751346588134766,28.391956329345703
macaque,10,22months,lh,wh,la,11,27.362163543701172,21.599475860595703,31.60602378845215
macaque,10,22months,lh,wh,la,12,30.5430908203125,25.18126678466797,35.3712158203125
macaque,10,22months,lh,wh,lu,1,49.213531494140625,28.118465423583984,13.917720794677734
macaque,10,22months,lh,wh,lu,2,44.58894348144531,31.228408813476562,16.193498611450195
macaque,10,22months,lh,wh,lu,3,39.122440338134766,36.25175094604492,17.774503707885742
macaque,10,22months,lh,wh,lu,4,35.635284423828125,41.60469055175781,20.590532302856445
macaque,10,22months,lh,wh,lu,5,31.24300193786621,47.29973602294922,20.697391510009766
macaque,10,22months,lh,wh,lu,6,27.320913314819336,51.13579559326172,26.1773624420166
macaque,10,22months,lh,wh,lu,7,22.836292266845703,51.64375305175781,30.628026962280273
macaque,10,22months,lh,wh,lu,8,20.488967895507812,49.89752960205078,31.379398345947266
macaque,10,22months,lh,wh,of,1,2.180772542953491,-54.19709014892578,14.031777381896973
macaque,10,22months,lh,wh,of,2,3.8984391689300537,-48.66008758544922,15.555261611938477
macaque,10,22months,lh,wh,of,3,5.2962799072265625,-41.9263801574707,15.81032943725586
macaque,10,22months,lh,wh,of,4,6.092647552490234,-34.957698822021484,11.94827938079834
macaque,10,22months,lh,wh,of,5,6.421719074249268,-30.390451431274414,7.3291239738464355
macaque,10,22months,lh,wh,po,1,12.512430191040039,62.78983688354492,18.654294967651367
macaque,10,22months,lh,wh,po,2,20.473491668701172,57.7431640625,19.555400848388672
macaque,10,22months,lh,wh,po,3,22.483503341674805,54.361663818359375,21.257776260375977
macaque,10,22months,lh,wh,po,4,21.6267032623291,50.751224517822266,24.61431884765625
macaque,10,22months,lh,wh,po,5,19.07900619506836,50.02599334716797,28.73412322998047
macaque,10,22months,lh,wh,po,6,21.852516174316406,49.73154067993164,31.722993850708008
macaque,10,22months,lh,wh,pr,1,25.327312469482422,-32.013206481933594,30.725921630859375
macaque,10,22months,lh,wh,pr,2,17.579458236694336,-35.73658752441406,25.692840576171875
macaque,10,22months,lh,wh,pr,3,14.744070053100586,-41.98960876464844,24.15294647216797
macaque,10,22months,lh,wh,pr,4,12.185359001159668,-48.68973159790039,19.847064971923828
macaque,10,22months,lh,wh,pr,5,5.83252477645874,-57.817039489746094,17.06032943725586
macaque,10,22months,lh,wh,st,1,24.0964412689209,-19.281396865844727,-16.785268783569336
macaque,10,22months,lh,wh,st,2,27.23675537109375,-15.020776748657227,-12.978959083557129
macaque,10,22months,lh,wh,st,3,30.904573440551758,-8.578691482543945,-8.50863265991211
